readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
example.fq.000000046	NC_006368.1	297246	7930	0	188	200	1
example.fq.000000047	NC_006368.1	297246	11450	0	180	200	1
example.fq.000000048	NC_002942.5	272624	11602	0	182	200	1
example.fq.000000049	NC_002942.5	272624	11714	0	182	200	1
example.fq.000000050	NC_002942.5	272624	12409	0	187	200	1
example.fq.000000051	NC_002942.5	272624	10361	7225	171	200	1
example.fq.000000052	NC_002942.5	272624	14281	7225	199	200	1
example.fq.000000053	NC_006368.1	297246	8620	170	198	200	1
example.fq.000000054	NC_006368.1	297246	11986	0	184	200	1
example.fq.000000055	NC_002942.5	272624	11152	0	178	200	1
example.fq.000000056	NC_006368.1	297246	9441	100	186	200	1
example.fq.000000057	species	446	7785	7785	186	200	1
example.fq.000000058	NC_002942.5	272624	10250	0	170	200	1
example.fq.000000059	NC_002942.5	272624	12554	0	188	200	1
example.fq.000000060	NC_002942.5	272624	8078	0	179	200	1
example.fq.000000061	species	446	12125	12125	185	200	1
example.fq.000000062	NC_006368.1	297246	13309	6084	193	200	1
example.fq.000000063	NC_006368.1	297246	14281	0	199	200	1
example.fq.000000064	NC_006368.1	297246	14112	0	198	200	1
example.fq.000000065	NC_006368.1	297246	10806	10706	199	200	1
example.fq.000000066	NC_002942.5	272624	10525	0	175	200	1
example.fq.000000067	NC_006368.1	297246	14450	7225	200	200	1
example.fq.000000068	NC_006368.1	297246	12097	0	185	200	1
example.fq.000000069	NC_006368.1	297246	4719	2533	197	200	1
example.fq.000000070	NC_002942.5	272624	12409	5184	187	200	1
example.fq.000000071	NC_006368.1	297246	10053	6084	171	200	1
example.fq.000000072	NC_002942.5	272624	6587	529	168	200	1
example.fq.000000073	NC_002942.5	272624	14450	0	200	200	1
example.fq.000000074	NC_006368.1	297246	13786	0	196	200	1
example.fq.000000075	NC_006368.1	297246	10618	3393	199	200	1
example.fq.000000076	species	446	6941	6941	168	200	1
example.fq.000000077	NC_002942.5	272624	13456	0	194	200	1
example.fq.000000078	NC_006368.1	297246	14450	0	200	200	1
example.fq.000000079	NC_006368.1	297246	14450	0	200	200	1
example.fq.000000080	NC_006368.1	297246	5746	1296	161	200	1
example.fq.000000081	NC_002942.5	272624	10361	3136	171	200	1
example.fq.000000082	NC_002942.5	272624	8714	0	162	200	1
example.fq.000000083	NC_002942.5	272624	9945	5184	171	200	1
example.fq.000000084	NC_002942.5	272624	14450	0	200	200	1
example.fq.000000085	NC_006368.1	297246	9038	49	179	200	1
example.fq.000000086	NC_002942.5	272624	14450	0	200	200	1
example.fq.000000087	NC_006368.1	297246	8722	81	185	200	1
example.fq.000000088	NC_006368.1	297246	14450	0	200	200	1
example.fq.000000089	NC_006368.1	297246	12125	0	185	200	1
example.fq.000000090	NC_006368.1	297246	14281	0	199	200	1
example.fq.000000091	NC_002942.5	272624	14281	0	199	200	1
example.fq.000000092	NC_002942.5	272624	12240	0	186	200	1
example.fq.000000093	species	446	5338	5338	198	200	1
example.fq.000000094	NC_006368.1	297246	8291	274	197	200	1
example.fq.000000095	NC_002942.5	272624	11118	49	199	200	1
example.fq.000000096	NC_006368.1	297246	11450	0	180	200	1
example.fq.000000097	NC_002942.5	272624	12097	5041	185	200	1
example.fq.000000098	NC_002942.5	272624	9685	0	169	200	1
example.fq.000000099	NC_002942.5	272624	5390	2725	184	200	1
